PMID	NCBI_Gene	Mentions	Resource
7801889	7412	VCAM1	GNormPlus
7801889	920	CD4	GNormPlus
7801889	925	CD8	GNormPlus
7801803	2934	Gelsolin	GNormPlus|MESH
7801806	4640	Brush border myosin I	GNormPlus
7801808	79784	myosin	GNormPlus
7801811	2934	gelsolin	GNormPlus
7801815	2934	gelsolin	GNormPlus|MESH
7801830	79784	myosin	GNormPlus
7801835	5544	g-1	GNormPlus
7801835	79784	myosin	GNormPlus
7801838	58492	pT1	GNormPlus
7801838	7694	pT3	GNormPlus
7801940	3265	H-ras	GNormPlus
7801940	644914	p21	GNormPlus
7801954	3329	groEL	GNormPlus
7801974	572	bad|Bad	GNormPlus
7801985	2688	Growth hormone	GNormPlus
7801986	920	CD4	GNormPlus
7801999	410	ARSA|Arylsulfatase A|arylsulfatase A	MESH|GNormPlus
7802001	2562	GABRB3	GNormPlus
7801896	2147	prothrombin	GNormPlus
7801898	5054	PAI-1|plasminogen activator inhibitor-1	GNormPlus
7801898	5327	tissue-plasminogen activator (t-PA|t-PA	GNormPlus
7801898	5345	alpha 2AP|alpha 2-antiplasmin|alpha 2-AP	GNormPlus
7801899	1437	GM-CSF	GNormPlus
7801900	54474	CD20	GNormPlus
7801900	5788	CD45	GNormPlus
7801900	596	bcl-2	GNormPlus
7801900	6693	CD43	GNormPlus
7801900	7345	UCHL1	GNormPlus
7801902	5243	P-glycoprotein|P-gp	MESH|GNormPlus
7802691	2357	fMLP	GNormPlus
7802704	7172	thiopurine methyltransferase|TPMT|Thiopurine methyltransferase	GNormPlus
7802105	6531	dopamine transporter	GNormPlus
7802339	1401	C-reactive protein|CRP	GNormPlus|MESH
7802339	8991	steroid-binding plasma protein|SBP	GNormPlus
7802346	1071	CETP|cholesteryl ester transfer protein	MESH|GNormPlus
7802705	373156	glutathione-S-transferase|GST	GNormPlus
7802705	597	A1 and dnacin B1	GNormPlus
7802705	983	p34cdc2	GNormPlus
7802705	994	cdc25B	GNormPlus
7802705	995	cdc25	GNormPlus
7802710	246281	hydroxy-indole-o-methyl transferase|HIOMT	GNormPlus
7802348	2147	Thrombin|thrombin	GNormPlus
7802353	920	CD4	GNormPlus
7802717	3156	HMG CoA reductase	GNormPlus
7802717	3949	LDL-receptor	GNormPlus
7802535	10320	iK1	GNormPlus
7802724	1056	cholesterol esterase	GNormPlus
7802728	338	apolipoprotein B	GNormPlus
7802729	335	apo A1	GNormPlus
7802729	4018	Lp(a)	GNormPlus
7802126	717	CO2	GNormPlus
7802545	966	min-1 (mg protein).-1|min-1 (mg cell protein)-1	GNormPlus
7802560	999	E-cadherin	GNormPlus
7802140	28	ABO	GNormPlus
7802141	1084	CEA|carcinoembryonic antigen	GNormPlus
7802141	174	AFP|alpha-fetoprotein	GNormPlus
7802565	5443	adrenocorticotropic hormone	GNormPlus
7802764	9463	pick	GNormPlus
7802774	100379198	ECT	GNormPlus
7802172	54956	Part 15	GNormPlus
7802168	7431	vimentin	GNormPlus|MESH
7802168	12	alpha-1-antichymotrypsin	GNormPlus
7802168	6271	S-100	GNormPlus
7802169	920	CD4	GNormPlus
7802169	925	CD8	GNormPlus
7802410	759	CA1	GNormPlus
7802410	761	CA3	GNormPlus
7802584	3845	K-ras	GNormPlus
7802039	2200	FBN1	GNormPlus|MESH
7802041	250	ALPP	GNormPlus
7802041	3815	c-kit	GNormPlus
7802041	5077	WS1|HuP2|PAX3	GNormPlus
7802419	25147	aromatase	GNormPlus
7802603	1437	GM-CSF	GNormPlus
7802603	2214	CD16	GNormPlus
7802603	3562	IL-3	GNormPlus
7802603	3567	Interleukin-5|IL-5	GNormPlus
7802603	928	CD9	GNormPlus
7802423	1813	dopamine receptor D2	GNormPlus
7802423	2249	hst	GNormPlus
7802423	2778	Gs alpha	GNormPlus
7802423	5449	Pit-1	GNormPlus
7802428	7040	Transforming growth factor-beta|TGF-beta	GNormPlus
7802429	7040	TGF-beta	GNormPlus
7802429	7124	TNF-alpha	GNormPlus
7802604	1437	GM-CSF	GNormPlus
7802604	2214	CD16	GNormPlus
7802604	3458	IFN-gamma	GNormPlus
7802604	3562	IL-3	GNormPlus
7802604	3567	IL-5	GNormPlus
7802604	7040	TGF-beta|TGF-beta 1	GNormPlus
7802608	13645	epidermal growth factor	GNormPlus
7802430	3973	LH receptor	GNormPlus
7802430	7253	TSH receptor	GNormPlus
7802624	539955	crop|Crop	GNormPlus
7802626	270	AMPD1|AMP deaminase|AMPD	GNormPlus
7802626	79784	myosin	GNormPlus
7802263	4155	maltose binding protein|MBP	GNormPlus
7802636	1571	CYP2E1	GNormPlus
7802638	183	angiotensinogen	GNormPlus
7802643	760	"Ca2+ (""Ca2+ cycling"""	GNormPlus
7802647	325	SAP|serum amyloid P component	GNormPlus
7802648	7421	VDR|vitamin D receptor	GNormPlus
7802649	11691	ALP	GNormPlus
7802649	16193	IL-6	GNormPlus
7802650	3351	5-HT1D beta|serotonin 1D beta receptor	gene2pubmed|GNormPlus
7802652	280794	fibronectin	GNormPlus
7802652	281849	cation independent mannose-6-phosphate receptor|IGF-II receptor	GNormPlus
7802652	317695	BSPA3	GNormPlus
7802652	407187	PDC 109	GNormPlus
7802653	21418	AP-2	GNormPlus
7802653	21429	UBF	GNormPlus
7802654	24476	IAPP	GNormPlus
7802654	3375	IAPP	GNormPlus
7802654	796	CGRP	GNormPlus
7802654	797	beta-CGRP	GNormPlus
7802656	7124	TNF alpha	GNormPlus
7802659	100008601	retinal oxidase	GNormPlus
7802084	704701	interleukin-1 beta	GNormPlus
7802084	705819	interleukin-6	GNormPlus
7802084	715467	tumor necrosis factor-alpha	GNormPlus
7802662	17229	MMCP-6|mast cell protease 6	MESH|GNormPlus
7802662	17342	MITF	gene2pubmed|GNormPlus|MESH
7802668	7056	TM|thrombomodulin	GNormPlus|MESH
7802093	3105	HLA-A	GNormPlus
7802302	717	CO2	GNormPlus
7802672	10249	ACGNAT|glycine n-acyltransferase	gene2pubmed|GNormPlus
7802677	171039	Rabphilin-3A|rabphilin-3A	gene2pubmed|GNormPlus|RGD
7802677	29244	GTP cyclohydrolase I	gene2pubmed|RGD|GNormPlus
7802677	25531	Rab3A	GNormPlus
7802679	100731633	apo E	GNormPlus
7803521	1956	epidermal growth factor (EGF) receptor|EGF receptor	GNormPlus
7803522	292661	prostacyclin receptor	GNormPlus|gene2pubmed
7803126	2099	ER|Estrogen Receptor	GNormPlus
7803538	4193	MDM2	GNormPlus
7803538	5243	MDR1	GNormPlus
7803538	7157	p53	GNormPlus
7803543	4436	hMSH2	GNormPlus|MESH
7803543	7157	p53	GNormPlus
7803544	963084	CPT-11	GNormPlus
7802966	4638	MLCK|myosin light chain kinase	GNormPlus|MESH
7802966	801	calmodulin	GNormPlus|MESH
7802966	109624	caldesmon	GNormPlus
7802966	4900	calmodulin binding protein	GNormPlus
7802966	79784	myosin	GNormPlus
7802966	800	caldesmon	GNormPlus
7802969	24241	Calcitonin gene-related peptide|CGRP	GNormPlus
7802969	25699	DBH|dopamine beta-hydroxylase	GNormPlus
7802981	920	CD4	GNormPlus
7803548	85348	HBc	GNormPlus
7803555	3630	proinsulin	GNormPlus
7802985	920	CD4	GNormPlus
7802988	920	CD4	GNormPlus
7803358	2936	Glutathione reductase|glutathione reductase	RGD|MESH|GNormPlus
7803370	3552	IL-1|interleukin-1	GNormPlus
7803567	112744	ml-1	GNormPlus
7802995	1803	CD26	GNormPlus
7803000	9255	p43	GNormPlus
7803178	7054	TH|tyrosine hydroxylase	MESH|GNormPlus
7803385	3347	His2	GNormPlus
7803385	717	CO2	GNormPlus
7803385	760	carbonic anhydrase II|CAII|Carbonic anhydrase II	GNormPlus
7803386	760	carbonic anhydrase II|CAII	GNormPlus
7803583	59330	GER	GNormPlus
7803185	100337609	corticotropin-releasing hormone	GNormPlus
7803185	380532	alpha-MSH|alpha-melanophorestimulating hormone	GNormPlus
7803190	7124	TNF-alpha|tumor necrosis factor alpha	GNormPlus
7803191	3456	IFN-beta|interferon-beta	GNormPlus
7803191	4691	C23	GNormPlus
7803191	79718	C21	GNormPlus
7803388	801	CaM|calmodulin	GNormPlus|MESH
7803411	1938	elongation factor-2|EF-2	GNormPlus
7802809	7124	Tumor necrosis factor	GNormPlus
7802843	2147	Prothrombin	GNormPlus
7803230	1070974	t(15,17	GNormPlus
7803230	928	CD9	GNormPlus
7803230	968	CD68	GNormPlus
7803231	596	bcl-2	GNormPlus
7803241	652070	scFv	GNormPlus
7802867	117019	eIF-2B	GNormPlus
7802869	181055	SEM-5	GNormPlus|MESH
7802869	36497	Grb2|Drk	GNormPlus
7803243	6007	RhD	GNormPlus
7803249	2244	fibrinogen	GNormPlus
7803253	5788	CD45	GNormPlus
7803253	947	CD34	GNormPlus
7803262	7040	transforming growth factor-beta|Transforming growth factor-beta|TGF-beta|TGF-beta 1	GNormPlus
7803266	1437	GM-CSF	GNormPlus
7803266	2056	erythropoietin|Epo	GNormPlus
7803266	3552	IL-1|interleukin-1	GNormPlus
7803266	3565	IL-4	GNormPlus
7803266	947	CD34	GNormPlus
7803272	2056	EPO|erythropoietin	GNormPlus
7803272	7018	transferrin	GNormPlus
7803274	146	alpha 1|alpha 2- and alpha 1	GNormPlus
7803277	3569	IL-6	GNormPlus
7803283	1351	VIII	GNormPlus
7803283	462	ATIII|antithrombin III	GNormPlus
7803283	7035	TFPI|tissue factor pathway inhibitor	GNormPlus
7803285	2147	Thrombin|thrombin	GNormPlus
7803285	2214	CD16	GNormPlus
7803285	27087	CD57	GNormPlus
7803285	4684	CD56	GNormPlus
7803453	282199	VIaL	GNormPlus|gene2pubmed
7803070	78996	MRI	GNormPlus
7803288	9172	M-protein	GNormPlus
7803293	1378	CD35|complement receptor type 1|Complement receptor type 1|CR1	GNormPlus
7803293	22815	CR4	GNormPlus
7803293	6998	CR3	GNormPlus
7803295	4193	MDM2	GNormPlus|MESH
7803295	7157	p53|P53	GNormPlus
7803298	350	beta 2 glycoprotein-I|beta 2GPI|Beta 2 glycoprotein-I	GNormPlus
7803467	567	beta 2-microglobulin	MESH|GNormPlus
7803467	7123	tetranectin	GNormPlus|MESH
7803467	26	diamine oxidase	GNormPlus
7803469	15526	mortalin	GNormPlus|MESH
7803469	22060	p53	GNormPlus
7803469	22350	p81	GNormPlus
7803475	728	C5a	GNormPlus
7802922	396453	prolactin|Prolactin	GNormPlus
7803479	547981	SAMDC|S-adenosylmethionine decarboxylase	GNormPlus
7803480	117019	eIF-2B|Eukaryotic initiation factor (eIF)-2B	GNormPlus
7803480	29422	beta-, gamma-, and epsilon-subunits	GNormPlus
7802925	16196	interleukin 7|IL-7	GNormPlus
7802927	3383	ICAM-1	GNormPlus
7802927	3458	IFN gamma	GNormPlus
7802927	3552	IL-1	GNormPlus
7802927	6401	ELAM-1	GNormPlus
7802927	7124	TNF alpha	GNormPlus
7802927	7412	VCAM-1	GNormPlus
7802928	3553	interleukin 1 beta	GNormPlus
7802928	3565	interleukin 4|IL4	GNormPlus
7802928	7124	TNF alpha	GNormPlus
7802929	3383	ICAM 1|ICAM-1	GNormPlus
7802929	3458	IFN gamma	GNormPlus
7802929	3497	IgE	GNormPlus
7803088	241	flap	GNormPlus
7803093	100422792	acetylcholinesterase|AChE	GNormPlus
7803492	108351137	glyceraldehyde-3-phosphate dehydrogenase	GNormPlus
7803497	850518	Ste2p	GNormPlus
7803497	851173	sst2	GNormPlus
7802936	760	Ca2	GNormPlus
7803322	1588	Aro	GNormPlus
7803511	2305	Ins 1	GNormPlus
7803515	100302324	PKC|Protein kinase C|protein kinase C	GNormPlus
7804441	590	cholinesterase	GNormPlus
7803953	2632	GBE	GNormPlus
7804129	3630	proinsulin|insulin	GNormPlus
7804133	359816	tRNA(Lys)	GNormPlus
7804133	444915	HR 5/5	GNormPlus
7804134	24586	NCAM|neural cell adhesion molecule	GNormPlus
7804134	428253	neural cell adhesion molecule	GNormPlus
7804135	590	cholinesterase	GNormPlus
7804445	1082	CG-beta	GNormPlus
7804445	3972	LH-beta	GNormPlus
7804446	6462	SHBG|Sex hormone-binding globulin	MESH|GNormPlus
7804455	5376	PMP22|peripheral myelin protein-22	GNormPlus|MESH
7804455	23095	CMT2|CMT2A	GNormPlus
7804455	2705	connexin 32	GNormPlus
7804455	4359	CMT1B	GNormPlus
7804455	7276	TTR|Transthyretin	GNormPlus
7804455	8731	CMT1C	GNormPlus
7804456	231	aldose reductase	GNormPlus
7804136	5914	RAR alpha|all-trans-retinoic acid receptor|RAR	GNormPlus
7804136	5915	RAR beta	GNormPlus
7804143	1584	CYP11B1	MESH|GNormPlus
7804464	3479	IGF-1	GNormPlus
7804466	12	alpha 1-antichymotrypsin	GNormPlus
7804466	351	beta-amyloid precursor protein	GNormPlus
7804469	3630	Insulin|insulin	GNormPlus
7803760	5894	Raf-1	GNormPlus
7803761	5594	p42mapk	GNormPlus
7803761	5595	p44mapk	GNormPlus
7803761	6194	40S ribosomal protein S6	GNormPlus
7803761	6198	p70s6k	GNormPlus
7803762	5594	ERK2	MESH|GNormPlus
7803762	5595	ERK1	MESH|GNormPlus
7804166	210582	GM1	GNormPlus
7804167	15978	IFN-gamma|gamma interferon (IFN-gamma	GNormPlus
7804167	16193	IL-6|interleukin-6	GNormPlus
7804167	21926	tumour necrosis factor|TNF	GNormPlus
7803767	5111	Cyclin|cyclin	GNormPlus
7803984	4023	LPL|lipoprotein lipase	MESH|GNormPlus
7803985	25750	MAO-B	GNormPlus
7803985	29253	MAO|MAO-A|monoamine-oxidase	GNormPlus
7804235	15978	IFN-gamma	GNormPlus
7804248	6908	TBP	GNormPlus
7803791	102990654	IL-2	GNormPlus
7803791	16183	interleukin-2|Interleukin-2|IL-2	GNormPlus
7803791	3558	IL-2	GNormPlus
7803791	3560	IL-2 receptor	GNormPlus
7803993	5196	PF4	GNormPlus
7803993	5473	beta TG	GNormPlus
7803800	2539	glucose-6-phosphate dehydrogenase|Glucose-6 phosphate dehydrogenase|G6PD	GNormPlus
7803805	7066	c-mpl-ligand	GNormPlus
7804313	308	placental anticoagulant protein I	MESH|GNormPlus
7803608	101843376	prolactin|PRL	GNormPlus
7803819	5435	hRPB14.4	gene2pubmed|GNormPlus
7803819	856317	RPB6|RPO26	GNormPlus
7803821	20810	spermidine synthase	gene2pubmed|GNormPlus
7804020	10278	sin	GNormPlus
7804310	11425	aCL	GNormPlus
7804310	11818	beta 2GPI|beta 2 glycoprotein I	GNormPlus
7804312	3562	interleukin-3|IL-3	GNormPlus
7803615	101098029	F-10	GNormPlus
7803619	104974671	phospholipase A2|PLA2	GNormPlus
7803619	281251	IL-1 beta|interleukin-1 beta	GNormPlus
7803850	179693	sqt-3	MESH|GNormPlus
7803855	855897	Hrr25p	GNormPlus|gene2pubmed|gene_interactions
7804030	510679	ALA-D|delta-aminolevulinic acid dehydratase	GNormPlus
7804322	462	antithrombin	GNormPlus
7804326	4637	MLC3nm	GNormPlus
7804327	108699960	PGE2	GNormPlus
7803632	920	CD4	GNormPlus
7803873	7375	USP 4	GNormPlus
7804355	16183	interleukin-2|IL-2	GNormPlus
7804355	21803	TGF-beta	GNormPlus
7804355	21926	tumor necrosis factor-alpha	GNormPlus
7804359	21877	TK1	GNormPlus
7804359	57813	TK2	GNormPlus
7804359	7083	TK1	GNormPlus
7804360	3558	interleukin-2|IL-2	GNormPlus
7803884	847	catalase	GNormPlus
7804369	116562	rIL-2	GNormPlus
7804369	3558	interleukin-2	GNormPlus
7804375	54486	Glutathione-S-Transferase	GNormPlus
7804382	3552	IL-1	GNormPlus
7804382	3569	IL-6	GNormPlus
7804383	24835	TNF-a	GNormPlus
7804383	280943	TNF-alpha	GNormPlus
7804383	3458	IFN-gamma	GNormPlus
7804383	3552	IL-1	GNormPlus
7804383	3569	IL-6	GNormPlus
7804383	517016	IL-6	GNormPlus
7804383	7124	TNF-alpha	GNormPlus
7804384	7039	TGF-alpha	GNormPlus
7804384	7040	TGF-beta	GNormPlus
7803649	920	CD4	GNormPlus
7803901	2187	FAB	GNormPlus
7803903	25;613	BCR/ABL	GNormPlus
7804094	13419	DNAse I	GNormPlus
7804094	56183	NMU	GNormPlus
7804095	12349	Ca2	GNormPlus
7804102	102	Kuz	GNormPlus
7804385	268	AMH	GNormPlus
7804108	3553	IL-1 beta|interleukin 1 beta	GNormPlus
7804108	3558	IL-2	GNormPlus
7803688	18787	PAI-1	GNormPlus
7803688	24617	rPAI-1	GNormPlus
7803688	5054	PAI-1	GNormPlus
7803688	7020	AP2	GNormPlus
7803688	7023	AP4	GNormPlus
7803688	91056	AP5	GNormPlus
7803689	1080919	S-1231	GNormPlus
7803910	3558	Interleukin-2|IL2	GNormPlus
7803910	80216	LAK	GNormPlus
7803922	720	C4A	GNormPlus
7803922	721	C4B	GNormPlus
7804112	4879	BNP|brain natriuretic peptide	GNormPlus
7803697	578	Bak	GNormPlus
7803923	27087	CD57	GNormPlus
7803923	3558	interleukin-2	GNormPlus
7803923	4684	CD56	GNormPlus
7803928	28909	O17	GNormPlus
7803928	28930	O12	GNormPlus
7803928	28933	O18	GNormPlus
7804122	12515	CD69	GNormPlus
7804122	969	CD69	GNormPlus
7804127	966	min-1	GNormPlus
7804416	4514	cytochrome c oxidase subunit III	GNormPlus
7803702	21802	TGF alpha	GNormPlus
7803702	7039	TGF alpha	GNormPlus
7803702	7124	transforming growth factor alpha	GNormPlus
7803705	111058	HSP90	GNormPlus
7803705	12406	HSP47	GNormPlus
7803705	15481	HSC70	GNormPlus
7803705	15511	HSP70	GNormPlus
7803708	29261	thymidylate synthetase	GNormPlus
7803946	1636	ACE|Angiotensin converting enzyme	GNormPlus
7804833	24165	adenosine deaminase	GNormPlus
7804847	25305	Cort	GNormPlus
7804848	153	beta1 adrenoceptor	GNormPlus|CTD
7804848	154	beta 2 adrenoceptor|beta2 adrenoceptor	CTD|GNormPlus
7804848	5972	renin	GNormPlus|CTD|MESH
7804848	10242	beta2	GNormPlus
7804848	3779	beta1	GNormPlus
7805023	3845	K-ras	GNormPlus
7805023	7157	p53	GNormPlus
7805027	102228937	Xmrk	GNormPlus
7805028	7157	p53	GNormPlus
7805035	3845	K-ras	GNormPlus
7805035	7157	p53	GNormPlus
7805037	2120	TEL	GNormPlus|gene2pubmed
7805037	25	ABL	GNormPlus
7805238	1906	Endothelin-1|endothelin-1	GNormPlus
7805242	14940	B10	GNormPlus
7805043	891	cyclin B1	GNormPlus
7805043	983	p34CDC2	GNormPlus
7805243	4353	myeloperoxidase	GNormPlus
7805243	710	C1 esterase inhibitor|C1 INH	GNormPlus
7805243	712	C1q	GNormPlus
7805244	403845	fibronectin	GNormPlus
7805244	403974	interleukin (IL)-1 beta	GNormPlus
7805244	480621	vitronectin	GNormPlus
7805245	100683675	BID	GNormPlus
7805245	403789	GPIIb	GNormPlus
7805062	100508689	mucin	GNormPlus
7805255	1714	CATCH-22	GNormPlus
7804724	116562	rIL-2	GNormPlus
7804724	3558	interleukin-2|IL-2	GNormPlus
7804724	3559	CD25	GNormPlus
7804727	1387	CBP	GNormPlus
7804727	5091	PCB	GNormPlus
7804727	717	CO2	GNormPlus
7805070	1628	DBP	GNormPlus
7805070	8991	SBP	GNormPlus
7805285	18791	Tissue plasminogen activator|tPA	GNormPlus
7804729	2244	fibrinogen	GNormPlus
7804730	2147	Thrombin	GNormPlus
7804730	5327	tissue-type plasminogen activator	GNormPlus
7804732	2147	thrombin	GNormPlus
7804733	2147	thrombin	GNormPlus
7804733	5054	PAI-1	GNormPlus
7804733	5340	plasmin	GNormPlus
7804905	1508	cysteine protease|Cysteine protease	GNormPlus
7805094	3949	LDL-receptor	GNormPlus
7805098	2526	CD15	GNormPlus
7805098	290	CD13	GNormPlus
7805098	3684	CD11b	GNormPlus
7805098	4353	myeloperoxidase	GNormPlus
7805098	929	CD14	GNormPlus
7804740	2147	Thrombin|thrombin	GNormPlus
7804923	4486	Ron	GNormPlus
7804508	3350	5HT1A-receptor	GNormPlus
7804750	183	Angiotensin II|angiotensin II	GNormPlus
7804752	5972	renin	GNormPlus|MESH
7804752	183	Angiotensin II|angiotensin II	GNormPlus
7804752	185	AT1	GNormPlus
7804752	186	AT2	GNormPlus
7804754	4306	mineralocorticoid receptor	GNormPlus
7804515	3350	5HT1A	GNormPlus
7805140	2187	FAB	GNormPlus
7805139	183	angiotensin II	GNormPlus
7805139	1906	ET-1|endothelin-1	GNormPlus
7805139	1909	ETAR|ETA receptor|ETA	GNormPlus
7805139	1910	ETB receptor|ETBR|ETB	GNormPlus
7805147	3492	IgH	GNormPlus
7805147	6962	TCR beta	GNormPlus
7804532	3439	IFN-alpha	GNormPlus
7804532	3458	IFN-gamma|interferon-gamma	GNormPlus
7804532	3558	IL-2	GNormPlus
7804532	3565	IL-4	GNormPlus
7804532	3565;7040	IL-4 and transforming growth factor-beta	GNormPlus
